video_id,comment_id,parent_comment_id,comment_type,comment_text,comment_like_count,published_at,cleaned_comment,sentiment,sentiment_score
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg,,TOP_LEVEL,"📍Tamasha S5, Daily at 10:00 PM – Only on #ARYDigital",127,2026-09-14T19:59:42Z,"📍Tamasha S5, Daily at 10:00 PM – Only on #ARYDigital",,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakSODHlQg4,UgywzezFoEu6KvVekq54AaABAg,REPLY,Jhot . koi gime table nai ha,4,2026-09-14T20:01:03Z,Jhot . koi gime table nai ha,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakSRmhtBev,UgywzezFoEu6KvVekq54AaABAg,REPLY,Samiya winner InshaAllah ❤❤,2,2026-09-14T20:01:32Z,Samiya winner InshaAllah ❤❤,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakT-22JsbF,UgywzezFoEu6KvVekq54AaABAg,REPLY,Bakwas kr dya ha app bna k maza nahi rha ab,2,2026-09-14T20:06:21Z,Bakwas kr dya ha app bna k maza nahi rha ab,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakT9Ync81s,UgywzezFoEu6KvVekq54AaABAg,REPLY,YT viewer's k lye yeh boht galat hai iska nuksaan hoga channal ko,1,2026-09-14T20:07:47Z,YT viewer's k lye yeh boht galat hai iska nuksaan hoga channal ko,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakT9vJGqgb,UgywzezFoEu6KvVekq54AaABAg,REPLY,Ye kiya ho raha please time py dekayaa kary hamary classes hoty hain subbah ko,0,2026-09-14T20:07:50Z,Ye kiya ho raha please time py dekayaa kary hamary classes hoty hain subbah ko,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakTD2SNX2j,UgywzezFoEu6KvVekq54AaABAg,REPLY,​@NoorFareed-s7dnever,1,2026-09-14T20:08:15Z,​@NoorFareed-s7dnever,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakTI7Sh5cw,UgywzezFoEu6KvVekq54AaABAg,REPLY,Ithna late q upload kartay hu,0,2026-09-14T20:08:57Z,Ithna late q upload kartay hu,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakTQa_5hbl,UgywzezFoEu6KvVekq54AaABAg,REPLY,InshaAllah InshaAllah Samiya winner,2,2026-09-14T20:10:06Z,InshaAllah InshaAllah Samiya winner,,
ih1zwUpVd7k,UgywzezFoEu6KvVekq54AaABAg.AakSEMw58QJAakTV65Di1h,UgywzezFoEu6KvVekq54AaABAg,REPLY,We want to see ESRA and ZAYB screen time together! ❤️‍🔥 Give us their conversations and moments instead of cutting them out. We deserve to see their genuine interactions too! 🫶🏻✨,6,2026-09-14T20:10:43Z,We want to see ESRA and ZAYB screen time together! ❤️‍🔥 Give us their conversations and moments instead of cutting them out. We deserve to see their genuine interactions too! 🫶🏻✨,,
